Categories,Sub_categories,Year,Value
Total arrivals,Permanent arrivals,2019,7720
Total arrivals,Permanent arrivals,2021,3640
Total arrivals,Permanent arrivals,2022,8830
Total arrivals,Permanent arrivals,2023,10400
Total arrivals,Australian resident,2019,1133810
Total arrivals,Australian resident,2021,49530
Total arrivals,Australian resident,2022,686540
Total arrivals,Australian resident,2023,1007680
Total arrivals,Overseas visitor,2019,867250
Total arrivals,Overseas visitor,2021,21690
Total arrivals,Overseas visitor,2022,386230
Total arrivals,Overseas visitor,2023,725310
Total departures,Australian resident,2019,1048960
Total departures,Australian resident,2021,50190
Total departures,Australian resident,2022,683580
Total departures,Australian resident,2023,947840
Total departures,Overseas visitor,2019,708480
Total departures,Overseas visitor,2021,36840
Total departures,Overseas visitor,2022,284910
Total departures,Overseas visitor,2023,546680
