Year,State,Number_of_visitors
2013,ACT,35.61
2013,NT,42.39
2013,TAS,20.82
2013,WA,365.31
2013,SA,103.88
2013,QLD,839.1
2013,VIC,760.47
2013,NSW,1297.19
2014,ACT,69.44
2014,NT,91.94
2014,TAS,46.36
2014,WA,735.71
2014,SA,217.72
2014,QLD,1559.83
2014,VIC,1583.57
2014,NSW,2617.6
2015,ACT,73.53
2015,NT,89.05
2015,TAS,52.58
2015,WA,763.84
2015,SA,210.73
2015,QLD,1664.22
2015,VIC,1810.82
2015,NSW,2784.93
2016,ACT,78.25
2016,NT,83.53
2016,TAS,60.52
2016,WA,844.15
2016,SA,217.19
2016,QLD,1826.18
2016,VIC,2040.12
2016,NSW,3119.29
2017,ACT,93.53
2017,NT,88.37
2017,TAS,76.27
2017,WA,853.76
2017,SA,247.21
2017,QLD,1888.15
2017,VIC,2184.55
2017,NSW,3383.06
2018,ACT,109.76
2018,NT,72.32
2018,TAS,88.58
2018,WA,849.09
2018,SA,260.23
2018,QLD,2013.01
2018,VIC,2378.94
2018,NSW,3473.13
2019,ACT,109.19
2019,NT,76.87
2019,TAS,95.06
2019,WA,884.07
2019,SA,276.13
2019,QLD,2031.68
2019,VIC,2509.73
2019,NSW,3482.84
2020,ACT,21.6
2020,NT,10.89
2020,TAS,24.63
2020,WA,188.13
2020,SA,59.11
2020,QLD,350.26
2020,VIC,503.61
2020,NSW,669.31
2021,ACT,3.89
2021,NT,3.41
2021,TAS,4.1
2021,WA,15.07
2021,SA,6.21
2021,QLD,47.23
2021,VIC,55.46
2021,NSW,110.82
2022,ACT,53.57
2022,NT,27.98
2022,TAS,41.85
2022,WA,381.94
2022,SA,127.49
2022,QLD,775.9
2022,VIC,974.02
2022,NSW,1311.31
2023,ACT,54.18
2023,NT,27.37
2023,TAS,40.17
2023,WA,369.31
2023,SA,127.85
2023,QLD,772.46
2023,VIC,992.42
2023,NSW,1466.74
