StateorTerritory,Years,Categories,Population
NSW,2019,number_of_visitors,268050
NSW,2019,number_of_residents,370540
NSW,2021,number_of_visitors,6160
NSW,2021,number_of_residents,16800
NSW,2022,number_of_visitors,107570
NSW,2022,number_of_residents,243260
NSW,2023,number_of_visitors,233530
NSW,2023,number_of_residents,333870
VIC,2019,number_of_visitors,201930
VIC,2019,number_of_residents,321280
VIC,2021,number_of_visitors,3280
VIC,2021,number_of_residents,10520
VIC,2022,number_of_visitors,81840
VIC,2022,number_of_residents,199080
VIC,2023,number_of_visitors,153260
VIC,2023,number_of_residents,289650
QLD,2019,number_of_visitors,206910
QLD,2019,number_of_residents,189380
QLD,2021,number_of_visitors,5800
QLD,2021,number_of_residents,9070
QLD,2022,number_of_visitors,81880
QLD,2022,number_of_residents,106160
QLD,2023,number_of_visitors,152860
QLD,2023,number_of_residents,161510
SA,2019,number_of_visitors,21950
SA,2019,number_of_residents,52230
SA,2021,number_of_visitors,640
SA,2021,number_of_residents,1050
SA,2022,number_of_visitors,10840
SA,2022,number_of_residents,23030
SA,2023,number_of_visitors,18490
SA,2023,number_of_residents,45850
WA,2019,number_of_visitors,65260
WA,2019,number_of_residents,143360
WA,2021,number_of_visitors,1950
WA,2021,number_of_residents,3060
WA,2022,number_of_visitors,32050
WA,2022,number_of_residents,74200
WA,2023,number_of_visitors,46450
WA,2023,number_of_residents,127610
TAS,2019,number_of_visitors,5670
TAS,2019,number_of_residents,13450
TAS,2021,number_of_visitors,360
TAS,2021,number_of_residents,630
TAS,2022,number_of_visitors,2660
TAS,2022,number_of_residents,5850
TAS,2023,number_of_visitors,4150
TAS,2023,number_of_residents,10650
NT,2019,number_of_visitors,9460
NT,2019,number_of_residents,9560
NT,2021,number_of_visitors,340
NT,2021,number_of_residents,210
NT,2022,number_of_visitors,3210
NT,2022,number_of_residents,4740
NT,2023,number_of_visitors,5520
NT,2023,number_of_residents,5750
ACT,2019,number_of_visitors,11130
ACT,2019,number_of_residents,22570
ACT,2021,number_of_visitors,200
ACT,2021,number_of_residents,470
ACT,2022,number_of_visitors,5600
ACT,2022,number_of_residents,14580
ACT,2023,number_of_visitors,10780
ACT,2023,number_of_residents,20430
